"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,2391,2019000000390,8668.8,2019000023911,90001,1,1,8668.8,0,0,2,59,4,2,200,0,0,7,71,1,10,48000,1,11
2019,201901,2700,2019000022690,10526.4,2019000027001,120001,1,1,10526.4,1,0,1,62,1,1,100,0,0,6,63,1,10,66000,1,11
2019,201901,2700,2019000022690,10526.4,2019000027001,120001,1,2,9907.2,1,0,2,62,1,1,100,0,0,6,63,1,10,39000,1,11
2019,201901,2855,2019000033700,42879.6,2019000028551,190001,1,1,42879.6,1,0,1,36,1,1,100,0,0,8,81,1,10,53000,2,20
2019,201901,2855,2019000033700,42879.6,2019000028551,190001,1,3,44272.8,0,0,2,20,6,1,100,0,0,6,63,1,10,500,1,11
2019,201901,3010,2019000044314,6811.2,2019000030101,30101,1,1,6811.2,0,0,1,44,4,2,200,0,0,8,81,1,10,56000,1,11
2019,201901,3165,2019000053916,20898.0,2019000031651,170001,1,2,8978.4,1,0,2,62,5,2,200,0,0,6,65,1,10,21000,1,11
2019,201901,3474,2019000075438,12693.6,2019000034741,200001,1,1,12693.6,1,0,2,50,1,6,620,0,0,10,101,1,10,50000,1,11
2019,201901,3474,2019000075438,12693.6,2019000034741,200001,1,2,9597.6,1,0,1,51,1,6,620,0,0,8,81,1,10,45000,1,11
2019,201901,3629,2019000084947,8978.4,2019000036291,180001,1,2,19814.4,1,0,2,57,1,2,200,0,0,7,71,1,10,15000,1,11
2019,201901,3629,2019000084947,8978.4,2019000036291,180001,1,3,29721.6,0,0,1,29,6,2,200,0,0,10,101,1,10,60000,1,11
2019,201901,3939,2019000107334,18730.8,2019000039391,130101,1,1,18576.0,1,0,2,45,4,2,200,0,0,6,65,1,10,30000,1,11
2019,201901,3939,2019000107334,18730.8,2019000039391,130101,1,2,20743.2,0,0,1,19,6,2,200,0,0,6,65,1,10,1400,1,11
2019,201901,4558,2019000148725,5572.8,2019000045581,70001,1,1,5572.8,0,0,2,47,1,1,100,0,0,6,63,1,10,35000,1,11
2019,201901,4558,2019000148725,5572.8,2019000045581,70001,1,2,7740.0,0,0,1,58,1,1,100,0,0,10,101,1,10,70000,1,11
2019,201901,4868,2019000170813,20588.4,2019000048681,80001,1,1,20588.4,2,2,1,35,1,1,100,0,0,6,63,1,10,60000,1,11
2019,201901,5022,2019000180706,15634.8,2019000050221,10001,1,2,13467.6,3,1,1,28,1,1,100,0,0,6,65,1,10,60000,1,11
2019,201901,5332,2019000201436,2786.4,2019000053321,250001,1,1,2786.4,0,0,2,32,4,1,100,0,0,8,81,1,10,14000,1,11
2019,201901,5642,2019000222228,21362.4,2019000056421,180001,1,1,21362.4,0,0,1,56,1,1,100,0,0,6,63,1,10,18100,1,11
2019,201901,5796,2019000231737,24922.8,2019000057961,130201,1,1,24922.8,0,0,2,32,6,1,100,0,0,11,114,1,10,12000,1,11
2019,201901,5951,2019000242539,18266.4,2019000059511,190001,1,1,18266.4,0,0,1,60,6,1,100,0,0,6,61,1,10,0,1,11
2019,201901,6106,2019000253491,3250.8,2019000061061,250001,1,2,3715.2,1,0,1,59,1,2,200,0,0,6,65,1,10,40000,1,11
2019,201901,6106,2019000253491,3250.8,2019000061061,250001,1,3,2941.2,0,0,1,18,6,1,100,0,0,6,63,1,10,12800,1,11
2019,201901,6261,2019000263339,14396.4,2019000062611,250001,1,1,14241.6,0,0,2,46,4,1,100,0,0,5,50,1,10,0,1,11
2019,201901,6570,2019000285439,10681.2,2019000065701,120001,1,1,10526.4,0,0,2,45,1,1,100,0,0,7,71,1,10,68000,1,11
